Tanggal,Open,High,Low,Close,Volume
2025-01-16,7165.17578125,7190.61181640625,7071.9111328125,7107.51904296875,144790100
2025-01-17,7115.05322265625,7178.81494140625,7084.2978515625,7154.658203125,197761000
2025-01-20,7188.40185546875,7201.60693359375,7165.44384765625,7170.73681640625,183080100
2025-01-21,7207.59423828125,7221.73095703125,7176.33203125,7181.81982421875,176177100
2025-01-22,7227.02197265625,7267.48681640625,7223.255859375,7257.1279296875,146457400
2025-01-23,7275.0009765625,7324.6259765625,7232.64306640625,7232.64306640625,142025900
2025-01-24,7255.02294921875,7261.4482421875,7166.05615234375,7166.05615234375,122224300
2025-01-30,7142.787109375,7150.29296875,7042.68798828125,7073.47802734375,156862200
2025-01-31,7113.5751953125,7174.7451171875,7095.67822265625,7109.19580078125,125561900
2025-02-03,7087.751953125,7089.69677734375,6933.14306640625,7030.05810546875,135419500
2025-02-04,7051.48486328125,7125.94287109375,7037.625,7073.458984375,250749100
2025-02-05,7071.5771484375,7079.4619140625,7002.52099609375,7024.22802734375,247130700
2025-02-06,7030.18896484375,7033.619140625,6830.11181640625,6875.5361328125,170868800
2025-02-07,6758.10400390625,6769.78076171875,6656.72412109375,6742.576171875,152142600
2025-02-10,6681.23388671875,6713.9521484375,6585.98486328125,6648.14208984375,153503000
2025-02-11,6629.81494140625,6658.23095703125,6500.4638671875,6531.990234375,146025200
2025-02-12,6540.94677734375,6645.77783203125,6537.47607421875,6645.77783203125,141288200
2025-02-13,6637.419921875,6647.10498046875,6565.77685546875,6613.56787109375,126053300
2025-02-14,6640.130859375,6679.39697265625,6609.6708984375,6638.458984375,121300000
2025-02-17,6663.30517578125,6830.8818359375,6658.22021484375,6830.8818359375,136644900
2025-02-18,6847.76611328125,6908.7001953125,6830.77587890625,6873.55419921875,158584300
2025-02-19,6877.1572265625,6886.9228515625,6773.9072265625,6794.8681640625,159932500
2025-02-20,6796.669921875,6836.72314453125,6755.43017578125,6788.0419921875,168907900
2025-02-21,6788.89599609375,6814.8662109375,6758.35302734375,6803.0009765625,131140300
2025-02-24,6801.67578125,6818.7939453125,6732.4091796875,6749.60107421875,156247700
2025-02-25,6749.43701171875,6772.64990234375,6576.96923828125,6587.0869140625,194167900
2025-02-26,6627.02099609375,6682.869140625,6547.2412109375,6606.17822265625,135195100
2025-02-27,6609.88818359375,6626.259765625,6443.22021484375,6485.4482421875,156489700
2025-02-28,6446.64404296875,6447.8828125,6246.27880859375,6270.59716796875,196893700
2025-03-03,6362.14892578125,6570.951171875,6347.09521484375,6519.658203125,170810200
2025-03-04,6524.701171875,6528.96923828125,6361.40380859375,6380.40087890625,149084200
2025-03-05,6404.68896484375,6570.81982421875,6404.68896484375,6531.39892578125,143533500
2025-03-06,6577.84521484375,6667.89306640625,6573.798828125,6617.84716796875,138941500
2025-03-07,6631.31103515625,6682.93798828125,6577.83203125,6636.0,198389400
2025-03-10,6618.9169921875,6629.44189453125,6568.1259765625,6598.2119140625,153564400
2025-03-11,6535.8701171875,6567.5849609375,6499.041015625,6545.85009765625,150016300
2025-03-12,6566.798828125,6665.044921875,6566.203125,6665.044921875,139690400
2025-03-13,6700.10693359375,6707.38623046875,6618.5390625,6647.4169921875,139851000
2025-03-14,6623.69091796875,6632.078125,6514.69189453125,6515.630859375,122970500
2025-03-17,6490.6708984375,6557.41015625,6445.97509765625,6471.94677734375,126321100
2025-03-18,6458.666015625,6465.22412109375,6011.841796875,6223.38818359375,233069600
2025-03-19,6221.19580078125,6332.73486328125,6147.42578125,6311.66015625,126795800
2025-03-20,6372.61083984375,6446.88916015625,6353.69384765625,6381.673828125,146168800
2025-03-21,6418.39013671875,6426.1650390625,6218.60107421875,6258.17919921875,190225100
2025-03-24,6242.23486328125,6269.90380859375,5967.19384765625,6161.2177734375,124187900
2025-03-25,6197.98681640625,6265.2958984375,6178.490234375,6235.619140625,111267000
2025-03-26,6314.3291015625,6489.14892578125,6312.966796875,6472.35595703125,159762700
