Tanggal,Open,High,Low,Close,Volume
2024-11-05,7474.4521484375,7496.99609375,7451.5478515625,7491.93115234375,182653900
2024-11-06,7495.130859375,7506.60107421875,7363.03076171875,7383.8681640625,235788800
2024-11-07,7373.56689453125,7381.7578125,7243.85986328125,7243.85986328125,204087800
2024-11-08,7263.9619140625,7350.36181640625,7263.9619140625,7287.19091796875,148863600
2024-11-11,7259.2900390625,7282.19580078125,7182.31201171875,7266.4599609375,221004900
2024-11-12,7271.173828125,7344.07421875,7268.60888671875,7321.98583984375,287694700
2024-11-13,7344.0078125,7370.39306640625,7304.873046875,7308.6708984375,226286700
2024-11-14,7303.90087890625,7318.77587890625,7214.56103515625,7214.56103515625,209423400
2024-11-15,7192.208984375,7241.6591796875,7122.67578125,7161.2578125,213100000
2024-11-18,7152.076171875,7174.7529296875,7118.869140625,7134.27685546875,191734000
2024-11-19,7140.19482421875,7229.8310546875,7136.69091796875,7195.71484375,205098000
2024-11-20,7213.9951171875,7229.7060546875,7171.26513671875,7180.3349609375,164074200
2024-11-21,7168.326171875,7209.35791015625,7140.912109375,7140.912109375,155717100
2024-11-22,7154.68212890625,7215.68701171875,7154.4521484375,7195.56494140625,205841500
2024-11-25,7218.9521484375,7329.4921875,7218.828125,7314.10791015625,264819900
2024-11-26,7329.5322265625,7341.59521484375,7245.88818359375,7245.88818359375,164096700
2024-11-28,7215.9072265625,7249.69287109375,7195.66796875,7200.1572265625,178995100
2024-11-29,7168.00390625,7189.12890625,7107.2841796875,7114.26611328125,218431100
2024-12-02,7117.75390625,7153.02978515625,7041.341796875,7046.98583984375,163941100
2024-12-03,7104.93017578125,7196.01708984375,7102.216796875,7196.01708984375,176316700
2024-12-04,7198.09814453125,7328.32421875,7187.47802734375,7326.76416015625,166379200
2024-12-05,7326.02392578125,7338.60400390625,7283.5,7313.31298828125,131417800
2024-12-06,7302.6650390625,7382.80908203125,7287.59619140625,7382.78515625,130161700
2024-12-09,7382.61376953125,7440.97900390625,7380.66015625,7437.73095703125,230130900
2024-12-10,7448.76806640625,7457.80517578125,7396.7900390625,7453.287109375,203350400
2024-12-11,7444.85888671875,7530.55908203125,7444.173828125,7464.751953125,235486300
2024-12-12,7441.97314453125,7470.89404296875,7380.02685546875,7394.23779296875,147665300
2024-12-13,7379.7509765625,7399.89697265625,7324.7890625,7324.7890625,120050700
2024-12-16,7304.2177734375,7320.794921875,7204.65380859375,7258.630859375,186546900
2024-12-17,7238.173828125,7263.31494140625,7132.05712890625,7157.73193359375,157427600
2024-12-18,7168.966796875,7216.8828125,7105.06787109375,7107.875,122373300
2024-12-19,7034.6171875,7040.548828125,6951.0517578125,6977.23779296875,170862900
2024-12-20,6980.1748046875,7032.40087890625,6931.5810546875,6983.865234375,145749700
2024-12-23,7037.52978515625,7096.44482421875,7035.72705078125,7096.44482421875,138664700
2024-12-24,7115.63720703125,7120.576171875,7063.7548828125,7065.74609375,110632900
2024-12-27,7073.375,7100.27001953125,7024.71484375,7036.57080078125,144277600
2024-12-30,7026.77685546875,7079.90478515625,6993.07177734375,7079.90478515625,159672400
2025-01-02,7092.42919921875,7163.205078125,7088.31982421875,7163.205078125,161752600
2025-01-03,7177.25,7197.0078125,7135.27587890625,7164.42919921875,182944400
2025-01-06,7176.1162109375,7182.01904296875,7073.9541015625,7080.47412109375,192190300
2025-01-07,7074.259765625,7103.18505859375,7029.51220703125,7083.2841796875,144709900
2025-01-08,7099.658203125,7129.2939453125,7046.169921875,7080.35205078125,147124800
2025-01-09,7093.25390625,7106.4580078125,7062.09521484375,7064.587890625,148465600
2025-01-10,7076.90478515625,7121.62890625,7074.14404296875,7088.8662109375,166170500
2025-01-13,7076.6982421875,7089.56982421875,6986.5927734375,7016.87890625,149887800
2025-01-14,7014.798828125,7042.3310546875,6956.6650390625,6956.6650390625,151037100
2025-01-15,6992.84814453125,7084.56494140625,6977.77294921875,7079.56201171875,173538400
