time,temperature_2m_max,temperature_2m_min,precipitation_sum,lokasi,Tahun
2017-07-11,28.0,24.5,16.9,Makassar,2017
2017-07-12,29.2,24.1,1.8,Makassar,2017
2017-07-13,28.1,24.7,12.0,Makassar,2017
2017-07-14,28.1,23.9,10.0,Makassar,2017
2017-07-15,28.4,22.3,0.2,Makassar,2017
2017-07-16,28.9,21.9,0.0,Makassar,2017
2017-07-17,28.8,22.5,0.8,Makassar,2017
2017-07-18,28.5,23.6,7.7,Makassar,2017
2017-07-19,28.7,23.1,1.0,Makassar,2017
2017-07-20,29.6,23.5,0.5,Makassar,2017
2017-07-21,28.7,22.5,0.6,Makassar,2017
2017-07-22,28.8,21.5,0.0,Makassar,2017
2017-07-23,28.8,22.6,0.0,Makassar,2017
2017-07-24,30.9,23.3,0.1,Makassar,2017
2017-07-25,29.4,24.2,0.0,Makassar,2017
2017-07-26,29.5,24.5,0.0,Makassar,2017
2017-07-27,28.1,24.8,12.8,Makassar,2017
2017-07-28,29.0,23.9,5.0,Makassar,2017
2017-07-29,29.9,24.1,0.0,Makassar,2017
2017-07-30,29.5,25.2,0.1,Makassar,2017
2017-07-31,29.6,23.2,0.0,Makassar,2017
2017-08-01,31.2,22.7,0.0,Makassar,2017
2017-08-02,29.8,22.7,0.0,Makassar,2017
2017-08-03,30.1,23.6,1.0,Makassar,2017
2017-08-04,30.0,24.8,0.6,Makassar,2017
2017-08-05,29.9,23.4,0.2,Makassar,2017
2017-08-06,29.7,23.5,0.1,Makassar,2017
2017-08-07,29.8,24.4,0.9,Makassar,2017
2017-08-08,29.8,25.0,0.7,Makassar,2017
2017-08-09,30.0,24.8,0.0,Makassar,2017
2017-08-10,30.1,23.0,0.0,Makassar,2017
2017-08-11,30.4,24.1,0.0,Makassar,2017
2017-08-12,28.6,24.6,15.3,Makassar,2017
2017-08-13,29.2,23.1,0.0,Makassar,2017
2017-08-14,29.8,20.6,0.0,Makassar,2017
2017-08-15,30.3,20.4,0.0,Makassar,2017
2017-08-16,29.6,23.1,0.3,Makassar,2017
2017-08-17,28.7,24.3,0.7,Makassar,2017
2017-08-18,26.8,24.0,7.3,Makassar,2017
2017-08-19,29.4,23.3,7.5,Makassar,2017
2017-08-20,31.3,23.6,0.0,Makassar,2017
2017-08-21,29.9,22.1,0.0,Makassar,2017
2017-08-22,30.2,23.1,0.0,Makassar,2017
2017-08-23,30.0,23.8,0.0,Makassar,2017
2017-08-24,30.0,22.5,0.0,Makassar,2017
2017-08-25,30.0,23.4,0.0,Makassar,2017
2017-08-26,30.4,23.5,0.0,Makassar,2017
2017-08-27,30.2,22.7,0.0,Makassar,2017
2017-08-28,30.5,21.9,0.0,Makassar,2017
2017-08-29,31.7,24.0,0.0,Makassar,2017
2017-08-30,30.5,22.8,0.0,Makassar,2017
2017-08-31,29.5,23.5,0.0,Makassar,2017
2017-09-01,30.4,23.8,0.0,Makassar,2017
2017-09-02,30.0,23.8,0.0,Makassar,2017
2017-09-03,31.3,24.6,0.0,Makassar,2017
